공연명,장르,공연시설
마티네 콘서트,서양음악(클래식),성남아트센터 
"다담: 차, 이야기, 우리음악으로 행복해지는 시간",한국음악(국악),국립국악원 
라흐 헤스트,뮤지컬,예스24 스테이지(구. DCF대명문화공장) 
"연극열전10, 프라이드",연극,예스24아트원(구.대학로아트원씨어터) 
"화성시 문화의 날, 렉처콘서트 PART1",서양음악(클래식),반석아트홀 (동탄복합문화센터) 
ACC 브런치콘서트 (패키지),복합,국립아시아문화전당 
NEW 사랑과 전쟁,연극,아트하우스 
"언빌리버블쇼, 매직카바레",서커스/마술,송도 건원테크노큐브 
"어서 오세요, 휴남동 서점입니다",뮤지컬,루미나아트홀 (구.시온아트홀) 
동춘서커스,서커스/마술,동춘서커스 빅탑극장 
"서울시극단, 유령",연극,세종문화회관 
"서울시뮤지컬단, 더 퍼스트 그레잇쇼",뮤지컬,세종문화회관 
카포네 트릴로지,연극,홍익대 대학로 아트센터 
"해설이 있는 음악회, 서클스 (시즌권)",서양음악(클래식),서울주문화센터 
"마하랑 떠나요, 수도SONG 세계여행",뮤지컬,한국항공대학교 
라움 마티네 콘서트,서양음악(클래식),소셜베뉴 라움 
코미디 매직쇼,서커스/마술,매직앤조이 [광교] 
베이커리 매직쇼,서커스/마술,성남소극장 
성남시립교향악단 정기연주회 시즌권,서양음악(클래식),성남아트센터 
"어서 오세요, 휴남동 서점입니다",뮤지컬,KNN시어터 
토요키즈클래식 (상반기),서양음악(클래식),용인포은아트홀 
수상한 미용실 (앵콜),연극,씨어터 벙커 
"삼청각 수요상설공연, 三淸: 삼청",한국음악(국악),삼청각 
두 여자,연극,하모니아 아트홀 
"마법의정원, 어린이 마술쇼 & 벌룬쇼 & 마리오네트",서커스/마술,마법의정원 [화성] 
스테이지 M 신년 음악회: 캔들데이 콘서트,서양음악(클래식),스테이지엠 (STAGE M) (구.프란츠홀) 
토요명품,한국음악(국악),국립국악원 
오르간 오딧세이,서양음악(클래식),롯데콘서트홀 
두여자,연극,피카소소극장 
라이어 1탄,연극,상명아트홀 
마술그리스신화,서커스/마술,브이씨어터 
급식왕: 급식이 사라졌다,연극,스케치홀 (구.소극장 선물 1관) 
지브리와 사랑에 빠지다: 지브리 영화 음악 콘서트,서양음악(클래식),스테이지엠 (STAGE M) (구.프란츠홀) 
애니메이션 뮤직 콘서트: 우리가 사랑한 디즈니 OST 콘서트,서양음악(클래식),스테이지엠 (STAGE M) (구.프란츠홀) 
매직 사이언스 콘서트,서커스/마술,명륜아트홀 
"캬바레성수, 뮤지컬다이닝: Chapter1-Great Hits",뮤지컬,캬바레성수 
보이스 오브 햄릿,뮤지컬,국립극장 
원테이블 매직,서커스/마술,스튜디오 아르카나 
드립소년단,연극,스케치홀 (구.소극장 선물 1관) 
사랑해 엄마,연극,아트하우스 
터치 파이브 (TOUCH FIVE),뮤지컬,TOUCH FIVE 전용관 
담소,서커스/마술,어바웃 매직(aboutmagic) 
"마술극장, 매직카바레쇼",서커스/마술,송도 건원테크노큐브 
701호,연극,우리소극장 [대학로] 
100번째 리뷰,연극,효천아트센터 그라운드씬 
폭풍우 치는 밤에,뮤지컬,효천아트센터 그라운드씬 
반짝반짝 신데렐라,뮤지컬,달밤엔씨어터 
알라딘,뮤지컬,샤롯데씨어터 
점프 JUMP,뮤지컬,명보아트홀 
Special GIG,대중음악,entry55 [성수] 
The entry to Jazz,대중음악,entry55 [성수] 
은밀한 연애,연극,시윤아트홀 
맥주 한잔 하실래요?,연극,더더더 
슈퍼거북 슈퍼토끼,뮤지컬,신한카드 SOL페이 스퀘어(구.신한pLay 스퀘어) 
로마人 이야기 with Classic,서양음악(클래식),롯데월드 
런던 레코드,뮤지컬,엠스테이지 (구.인사아트홀) 
런투패밀리,연극,나인진홀 (구.청년극장) 
아기돼지삼형제: 늑대숲 또옹돼지 원정대,뮤지컬,라온씨어터 
마법의정원 샌드아트 체험전: 빛과 모래의 합창,서커스/마술,마법의정원 [화성] 
어린이 마술쇼,서커스/마술,매직앤조이 [광교] 
페인터즈,뮤지컬,NH아트홀 
